,Objective,Dims,Mutation,Crossover,ParentSel,SurvSel,Nexecs,PopSize,ExecTime,fitness
253,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001562235999999828,296.6222306162332
254,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017786070000003207,148.0469208713327
255,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001698633999999366,158.31146656375125
256,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015437870000001297,512.6237275739571
257,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017798720000001822,113.23730604973491
258,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00161733499999972,952.4625348589509
259,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015235320000002162,719.91208306468
260,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015658410000005674,72.03970593965443
261,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.00188597200000018,6.916029630301432
262,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015611839999998267,100.0745698955967
263,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016786299999997922,634.1419726316102
264,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017851480000006248,722.4969121622432
265,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015188429999994923,292.8838722018534
266,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001513435999999757,833.7272153136765
267,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001514783000000186,21.922575126540302
268,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016068080000000151,1016.9695226166175
269,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015911389999994086,572.2731220966607
270,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001635560999999619,637.4978098921442
271,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0019524070000001004,927.3514128465691
272,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001862548000000075,175.38353600814767
273,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001513899999999957,886.3622865808519
274,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001534487000000695,1100.9063847438474
275,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0015307509999997748,854.5096614708864
276,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016211639999994532,197.79695421129392
277,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0016114319999998017,457.9388567808552
278,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0018306360000002186,335.6450392397986
279,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001763554000000056,257.1715928526191
280,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.001610879999999426,1016.7680970068749
281,SPHERE,3,gaussmut,onepoint,best,elitism,100,100,0.0017950899999998882,519.2479937709838
