pygame 2.3.0 (SDL 2.24.2, Python 3.10.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Number of generations: 23
Real time spent: 4.15018s
CPU time spent: 4.15012s
Number of fitness evaluations: 2191
Best fitness: 6.532679501993809
         2576315 function calls (2478219 primitive calls) in 8.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.027    0.027 _hypotests.py:1(<module>)
    22603    0.027    0.000    0.027    0.000 abstract.py:95(key)
    18906    0.026    0.000    0.026    0.000 sre_parse.py:234(__next)
       12    0.000    0.000    0.026    0.002 core.py:1076(parse_string)
        1    0.003    0.003    0.026    0.026 __init__.py:68(bootstrap)
      409    0.003    0.000    0.026    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.026    0.026 _filters.py:1(<module>)
     4242    0.011    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    11547    0.025    0.000    0.025    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.025    0.025 helpers.py:1(<module>)
     6603    0.017    0.000    0.025    0.000 numeric.py:1873(isscalar)
       19    0.000    0.000    0.025    0.001 dataclasses.py:1174(wrap)
        1    0.000    0.000    0.025    0.025 builder.py:1(<module>)
20115/19881    0.024    0.000    0.025    0.000 {built-in method builtins.hash}
       19    0.002    0.000    0.025    0.001 dataclasses.py:881(_process_class)
        9    0.000    0.000    0.024    0.003 typeconv.py:78(promote)
        1    0.000    0.000    0.024    0.024 cm.py:1(<module>)
        9    0.000    0.000    0.024    0.003 castgraph.py:125(promote)
      337    0.001    0.000    0.024    0.000 <__array_function__ internals>:177(hstack)
    20053    0.024    0.000    0.024    0.000 {method 'items' of 'dict' objects}
     2100    0.012    0.000    0.024    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.024    0.024 _geometric_slerp.py:1(<module>)
